date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:36	353499/353499	---M--	200	added ('OK')	image/png	etag:%221e0d45-564db-61fc70e5a0f00%22	https://brand-image.co.in/assets/img/Brand%20Image%20Logo.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/Brand%20Image%20Logo.png	(from https://brand-image.co.in/)
16:28:36	22786/22786	---M-Z	200	added ('OK')	text/html	etag:%221a4414-573c-61fc7648a4480-gzip%22	https://brand-image.co.in/about.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/about.html	(from https://brand-image.co.in/)
16:28:37	25562/25562	---M-Z	200	added ('OK')	text/html	etag:%221a4442-6214-61fc7648a4480-gzip%22	https://brand-image.co.in/service.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/service.html	(from https://brand-image.co.in/)
16:28:37	19214/19214	---M-Z	200	added ('OK')	text/html	etag:%221a442a-4948-61fc7648a4480-gzip%22	https://brand-image.co.in/blog.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/blog.html	(from https://brand-image.co.in/)
16:28:38	32617/32617	---M-Z	200	added ('OK')	text/html	etag:%221a4430-7da3-61fc7648a4480-gzip%22	https://brand-image.co.in/gallery.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/gallery.html	(from https://brand-image.co.in/)
16:28:38	22772/22772	---M-Z	200	added ('OK')	text/html	etag:%221a442b-572e-61fc7648a4480-gzip%22	https://brand-image.co.in/contact.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/contact.html	(from https://brand-image.co.in/)
16:28:39	1195751/1195751	---M--	200	added ('OK')	image/png	etag:%22320ee7-123ee7-61fc70e971800%22	https://brand-image.co.in/assets/img/hero/shopp.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/hero/shopp.png	(from https://brand-image.co.in/)
16:28:40	986694/986694	---M--	200	added ('OK')	image/png	etag:%22320ee3-f0e46-61fc70e971800%22	https://brand-image.co.in/assets/img/hero/print.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/hero/print.png	(from https://brand-image.co.in/)
16:28:40	1095646/1095646	---M--	200	added ('OK')	image/png	etag:%22320eed-10b7de-61fc70e971800%22	https://brand-image.co.in/assets/img/hero/wall.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/hero/wall.png	(from https://brand-image.co.in/)
16:28:41	391789/391789	---M--	200	added ('OK')	image/jpeg	etag:%22320ee8-5fa6d-61fc70e971800%22	https://brand-image.co.in/assets/img/hero/slide21.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/hero/slide21.jpg	(from https://brand-image.co.in/)
16:28:41	299096/299096	---M--	200	added ('OK')	image/jpeg	etag:%22320ee9-49058-61fc70e971800%22	https://brand-image.co.in/assets/img/hero/slide23.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/hero/slide23.jpg	(from https://brand-image.co.in/)
16:28:42	11580/11580	---M--	200	added ('OK')	image/jpeg	etag:%22222778-2d3c-61fc70e5a0f00%22	https://brand-image.co.in/assets/img/bg/sr-bg-3-1.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/bg/sr-bg-3-1.jpg	(from https://brand-image.co.in/)
16:28:42	1121214/1121214	---M--	200	added ('OK')	image/png	etag:%22320eec-111bbe-61fc70e971800%22	https://brand-image.co.in/assets/img/hero/trans.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/hero/trans.png	(from https://brand-image.co.in/)
16:28:42	989035/989035	---M--	200	added ('OK')	image/png	etag:%22320ec0-f176b-61fc70e971800%22	https://brand-image.co.in/assets/img/hero/eventp.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/hero/eventp.png	(from https://brand-image.co.in/)
16:28:42	9937/9937	---M--	200	added ('OK')	image/jpeg	etag:%22320faf-26d1-61fc70e971800%22	https://brand-image.co.in/assets/img/project/print.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/project/print.jpg	(from https://brand-image.co.in/)
16:28:42	1923/1923	---M--	200	added ('OK')	image/png	etag:%22320fa2-783-61fc70e971800%22	https://brand-image.co.in/assets/img/icon/sr-icon-3-1.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/icon/sr-icon-3-1.png	(from https://brand-image.co.in/)
